,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
993448,45,CASH_OUT,36467.43,C798504793,218603.0,182135.57,C1761667313,430274.32,466741.75,0
1712685,160,CASH_OUT,11177.72,C1298707190,0.0,0.0,C498599199,12264876.2,12276053.91,0
3868318,283,CASH_IN,76605.92,C1493839655,2663.0,79268.92,C461216810,0.0,0.0,0
4118275,302,PAYMENT,8909.38,C631523702,6220.0,0.0,M1102374371,0.0,0.0,0
3951753,287,TRANSFER,223730.4,C734008057,223730.4,0.0,C1763626980,0.0,0.0,1
5490981,380,CASH_IN,153937.72,C1882645644,3238393.87,3392331.59,C406442414,666151.06,512213.33,0
6361418,718,TRANSFER,66941.04,C832223915,66941.04,0.0,C1284075607,0.0,0.0,1
6018917,455,CASH_OUT,212624.04,C555817515,0.0,0.0,C160137291,443389.9,656013.94,0
1059682,116,TRANSFER,85408.24,C1773883691,85408.24,0.0,C1851184528,0.0,0.0,1
2666843,210,CASH_OUT,178713.03,C855016825,166.0,0.0,C1049821379,12244.15,190957.18,0
6040703,487,CASH_OUT,1035401.2,C1689112462,1035401.2,0.0,C353554883,4906677.4,5942078.6,1
5563747,388,TRANSFER,236388.4,C907729353,236388.4,0.0,C82050695,0.0,0.0,1
859347,42,TRANSFER,551858.72,C1645624666,9186.0,0.0,C1580898291,280026.14,766818.93,0
6308249,685,TRANSFER,6295010.28,C1070365668,6295010.28,0.0,C874365535,0.0,0.0,1
2474985,204,CASH_OUT,444538.21,C174769704,348866.0,0.0,C51506443,7054883.23,7499421.44,0
4873562,348,CASH_IN,147063.25,C1718908462,2951733.58,3098796.83,C1640823743,1214360.25,486542.08,0
854217,41,CASH_OUT,82806.2,C1327670146,82806.2,0.0,C1480756205,0.0,0.0,1
682552,36,PAYMENT,8720.11,C770070811,5460.0,0.0,M452350624,0.0,0.0,0
2882202,228,PAYMENT,8937.21,C1409521804,0.0,0.0,M978637855,0.0,0.0,0
2275776,187,CASH_OUT,327057.52,C1771321649,12889.65,0.0,C1421263836,227739.25,554796.77,0
1030407,62,TRANSFER,407833.62,C1585122257,407833.62,0.0,C645113065,0.0,0.0,1
5553068,383,PAYMENT,664.63,C307487977,5017.0,4352.37,M834034542,0.0,0.0,0
202148,13,CASH_OUT,146190.84,C2031621159,0.0,0.0,C91706887,7229635.36,7375826.2,0
3287184,252,PAYMENT,12220.18,C522845887,2747.0,0.0,M916247804,0.0,0.0,0
2675350,210,CASH_OUT,289466.59,C1836839415,39732.0,0.0,C638756746,365724.41,655191.0,0
4473123,324,PAYMENT,29291.68,C1991355089,33068.0,3776.32,M622963737,0.0,0.0,0
6296195,673,CASH_OUT,897875.35,C1479974036,897875.35,0.0,C1078117334,0.0,897875.35,1
749078,38,PAYMENT,3582.25,C241299309,102383.0,98800.75,M127524563,0.0,0.0,0
2112305,183,TRANSFER,627903.12,C1189870907,627903.12,0.0,C1726450502,0.0,0.0,1
1030649,81,TRANSFER,2737766.8,C1263150351,2737766.8,0.0,C61517319,0.0,0.0,1
199498,13,PAYMENT,6512.3,C1779870524,1053852.22,1047339.92,M1904424795,0.0,0.0,0
3105811,235,CASH_OUT,4814.69,C752353094,4814.69,0.0,C1794146784,0.0,4814.69,1
1713912,160,PAYMENT,5652.97,C401889483,154670.59,149017.61,M1328563775,0.0,0.0,0
3948901,287,PAYMENT,7213.59,C2000749243,0.0,0.0,M1574959550,0.0,0.0,0
5294507,373,CASH_OUT,112835.43,C85943381,112835.43,0.0,C792542501,857193.78,970029.21,1
2312236,188,DEBIT,1423.2,C1659750619,0.0,0.0,C454268308,286699.05,288122.26,0
2884107,228,PAYMENT,10196.89,C123272509,283385.47,273188.58,M1520277551,0.0,0.0,0
995580,45,CASH_IN,227829.19,C175379105,984466.37,1212295.56,C1209549380,2619621.52,2391792.34,0
6201998,582,CASH_OUT,781988.85,C1367702961,781988.85,0.0,C2040799056,0.0,781988.85,1
4621621,329,PAYMENT,26117.13,C1236883471,11413.0,0.0,M1871865591,0.0,0.0,0
1416414,139,CASH_IN,121739.9,C1259837182,44359.0,166098.9,C921866695,2689292.99,2567553.09,0
4501580,325,CASH_OUT,221689.3,C1724138943,0.0,0.0,C1521299496,250344.96,472034.26,0
5392802,377,CASH_OUT,40520.08,C1559429676,100580.0,60059.92,C332911510,18861.24,59381.32,0
1070764,129,TRANSFER,139210.23,C922917235,139210.23,0.0,C1075980653,0.0,0.0,1
5773296,400,TRANSFER,245155.25,C1830554141,245155.25,0.0,C1838718052,0.0,0.0,1
5026525,353,CASH_IN,222298.03,C931749081,27578.0,249876.03,C1538525169,0.0,0.0,0
1059694,117,TRANSFER,4032691.34,C802639228,4032691.34,0.0,C593736656,0.0,0.0,1
5319653,374,CASH_IN,103993.66,C1971044812,193.0,104186.66,C815940886,1570258.84,1466265.17,0
4140349,303,CASH_IN,253926.21,C12109510,1434550.76,1688476.96,C1545454825,31503896.21,31249970.0,0
3827047,282,PAYMENT,1062.73,C2024636771,20259.0,19196.27,M1239335576,0.0,0.0,0
3036097,234,CASH_OUT,225923.37,C42674436,225923.37,0.0,C491430071,3140128.43,3366051.8,1
1047341,95,TRANSFER,245591.49,C1372634549,1155.0,0.0,C986297301,137475.02,383066.51,0
6018792,453,TRANSFER,134725.66,C1443740367,134725.66,0.0,C465493916,0.0,0.0,1
4772750,335,TRANSFER,723915.85,C452762754,723915.85,0.0,C66230253,0.0,0.0,1
1059508,99,TRANSFER,130653.37,C379527742,130653.37,0.0,C312459798,0.0,0.0,1
4610602,329,PAYMENT,6016.98,C1001342633,177760.51,171743.54,M266258844,0.0,0.0,0
5534686,381,CASH_IN,10108.07,C1975059048,1214534.58,1224642.65,C1002244794,562417.86,552309.79,0
1384136,138,CASH_IN,261889.63,C512889521,5772214.68,6034104.31,C564164425,1025787.56,763897.93,0
3635257,274,PAYMENT,7249.2,C1499425185,0.0,0.0,M949270463,0.0,0.0,0
1030400,61,CASH_OUT,1155128.91,C1202518126,1155128.91,0.0,C1162744412,0.0,1155128.91,1
1638194,157,CASH_OUT,148414.38,C772264938,36733.41,0.0,C639541390,294301.66,442716.03,0
1799271,162,CASH_OUT,405959.71,C1221651094,0.0,0.0,C429175915,425238.34,831198.05,0
4275129,307,CASH_OUT,132839.99,C457810741,20345.0,0.0,C880921555,76952.79,209792.78,0
2801088,218,CASH_OUT,145379.14,C1005866728,145379.14,0.0,C677701060,2214587.74,2359966.88,1
6281780,650,CASH_OUT,692654.27,C87360228,692654.27,0.0,C1275559183,0.0,692654.27,1
4487770,324,PAYMENT,45065.04,C211296493,0.0,0.0,M1668785249,0.0,0.0,0
6175271,564,TRANSFER,1650856.19,C37709485,1650856.19,0.0,C1707593251,0.0,0.0,1
767976,39,CASH_IN,151196.27,C594287902,3458232.96,3609429.23,C876306094,6083902.96,5932706.69,0
125251,11,CASH_IN,274314.75,C1455082546,1526729.39,1801044.14,C1995399893,275152.61,837.87,0
6010950,447,CASH_OUT,834592.4,C851101642,834592.4,0.0,C1583598303,236428.35,1071020.75,1
1882839,164,CASH_OUT,233441.36,C336528544,10182.0,0.0,C650844414,3613359.79,3846801.14,0
2274150,187,PAYMENT,614.75,C1263217899,0.0,0.0,M638823976,0.0,0.0,0
3163675,237,CASH_OUT,10000000.0,C844374854,10000000.0,0.0,C141316671,13009399.24,23009399.24,1
6308251,685,TRANSFER,1933121.35,C1845779361,1933121.35,0.0,C1809033078,0.0,0.0,1
5563730,387,CASH_OUT,245970.86,C1529702229,245970.86,0.0,C1178104169,14287843.63,14533814.5,1
1628698,157,CASH_OUT,4738282.28,C751624512,4738282.28,0.0,C320991755,0.0,4738282.28,1
6019720,457,TRANSFER,145482.09,C1089341002,145482.09,0.0,C1168895160,0.0,0.0,1
3369092,254,TRANSFER,900362.48,C552626823,900362.48,0.0,C119810144,0.0,0.0,1
1030754,90,CASH_OUT,266746.42,C1311443000,266746.42,0.0,C1414013313,4433931.77,4700678.19,1
3084878,235,CASH_IN,70444.62,C1816837275,1473627.9,1544072.52,C838450529,74418.23,3973.61,0
4183999,304,TRANSFER,10000000.0,C2048452244,5648.0,0.0,C1675043116,0.0,34381764.46,0
5724271,398,TRANSFER,10000000.0,C14368419,25618179.9,15618179.9,C1000868784,0.0,0.0,1
